Detector;Time;qPKW;qLKW;vPKW;vLKW
D89717070#0_0;0;1158;145;26;18
D89717070#0_0;15;673;144;26;18
D89717070#0_0;30;782;135;26;18
D89717070#0_0;45;838;141;26;18
D89717070#0_0;60;841;137;26;18
D89717070#0_0;75;842;128;26;18
D89717070#0_0;90;825;139;26;18
D89717070#0_0;105;775;130;26;18
D89717070#0_0;120;752;127;26;18
D89717070#0_0;135;811;119;26;18
D89717070#0_0;150;788;113;26;18
D89717070#0_0;165;807;112;26;18
D89717070#0_0;180;814;112;26;18
D89717070#0_0;195;804;107;26;18
D89717070#0_0;210;796;125;26;18
D89717070#0_0;225;757;111;26;18
D89717070#0_0;240;774;109;26;18
D89717070#0_0;255;795;117;26;18
D89717070#0_0;270;744;111;26;18
D89717070#0_0;285;782;126;26;18
D89717070#0_0;300;784;124;26;18
D89717070#0_0;315;806;124;26;18
D89717070#0_0;330;799;121;26;18
D89717070#0_0;345;826;116;26;18
D89717070#0_0;360;884;117;26;18
D89717070#0_0;375;820;121;26;18
D89717070#0_0;390;862;130;26;18
D89717070#0_0;405;783;138;26;18
D89717070#0_0;420;721;155;26;18
D89717070#0_0;435;742;170;26;18
D89717070#0_0;450;746;163;26;18
D89717070#0_0;465;813;168;26;18
D89717070#0_0;480;879;139;26;18
D89717070#0_0;495;872;145;26;18
D89717070#0_0;510;837;146;26;18
D89717070#0_0;525;811;142;26;18
D89717070#0_0;540;735;155;26;18
D89717070#0_0;555;740;160;26;18
D89717070#0_0;570;763;160;26;18
D89717070#0_0;585;756;164;26;18
D89717070#0_0;600;817;170;26;18
D89717070#0_0;615;744;167;26;18
D89717070#0_0;630;681;168;26;18
D89717070#0_0;645;696;167;26;18
D89717070#0_0;660;507;160;26;18
D89717070#0_0;675;515;163;26;18
D89717070#0_0;690;530;147;26;18
D89717070#0_0;705;539;156;26;18
D89717070#0_0;720;514;169;26;18
D89717070#0_0;735;512;176;26;18
D89717070#0_0;750;489;166;26;18
D89717070#0_0;765;518;153;26;18
D89717070#0_0;780;518;130;26;18
D89717070#0_0;795;83;25;26;18
D89717070#0_0;810;113;17;26;18
D89717070#0_0;825;104;23;26;18
D89704060#0_0;0;579;145;26;18
D89704060#0_0;15;673;144;26;18
D89704060#0_0;30;782;135;26;18
D89704060#0_0;45;838;141;26;18
D89704060#0_0;60;841;137;26;18
D89704060#0_0;75;842;128;26;18
D89704060#0_0;90;825;139;26;18
D89704060#0_0;105;775;130;26;18
D89704060#0_0;120;752;127;26;18
D89704060#0_0;135;811;119;26;18
D89704060#0_0;150;788;113;26;18
D89704060#0_0;165;807;112;26;18
D89704060#0_0;180;814;112;26;18
D89704060#0_0;195;804;107;26;18
D89704060#0_0;210;796;125;26;18
D89704060#0_0;225;757;111;26;18
D89704060#0_0;240;774;109;26;18
D89704060#0_0;255;795;117;26;18
D89704060#0_0;270;744;111;26;18
D89704060#0_0;285;782;126;26;18
D89704060#0_0;300;784;124;26;18
D89704060#0_0;315;806;124;26;18
D89704060#0_0;330;799;121;26;18
D89704060#0_0;345;826;116;26;18
D89704060#0_0;360;884;117;26;18
D89704060#0_0;375;820;121;26;18
D89704060#0_0;390;862;130;26;18
D89704060#0_0;405;783;138;26;18
D89704060#0_0;420;721;155;26;18
D89704060#0_0;435;742;170;26;18
D89704060#0_0;450;746;163;26;18
D89704060#0_0;465;813;168;26;18
D89704060#0_0;480;879;139;26;18
D89704060#0_0;495;872;145;26;18
D89704060#0_0;510;837;146;26;18
D89704060#0_0;525;811;142;26;18
D89704060#0_0;540;735;155;26;18
D89704060#0_0;555;740;160;26;18
D89704060#0_0;570;763;160;26;18
D89704060#0_0;585;756;164;26;18
D89704060#0_0;600;817;170;26;18
D89704060#0_0;615;744;167;26;18
D89704060#0_0;630;681;168;26;18
D89704060#0_0;645;696;167;26;18
D89704060#0_0;660;507;160;26;18
D89704060#0_0;675;515;163;26;18
D89704060#0_0;690;530;147;26;18
D89704060#0_0;705;539;156;26;18
D89704060#0_0;720;514;169;26;18
D89704060#0_0;735;512;176;26;18
D89704060#0_0;750;489;166;26;18
D89704060#0_0;765;518;153;26;18
D89704060#0_0;780;518;130;26;18
D89704060#0_0;795;83;25;26;18
D89704060#0_0;810;113;17;26;18
D89704060#0_0;825;104;23;26;18

